score_read,score_math,gender,birth,lunch,ethnicity,class_type,school,degree,ladder,experience,t_ethnicity,schooldistrict_id,school_id
405.0,434.0,male,1979 Q2,non-free,cauc,small,rural,bachelor,apprentice,2.0,cauc,12.0,34.0
418.0,449.0,male,1980 Q2,free,cauc,regular+aide,rural,bachelor,level1,13.0,cauc,33.0,67.0
453.0,602.0,female,1979 Q3,free,cauc,small,suburban,bachelor,level1,14.0,cauc,22.0,52.0
451.0,506.0,male,1979 Q3,non-free,cauc,small,suburban,bachelor,,0.0,cauc,4.0,4.0
456.0,468.0,male,1980 Q1,non-free,cauc,regular+aide,rural,bachelor,level1,4.0,cauc,29.0,62.0
,,male,1980 Q1,free,afam,small,inner-city,bachelor,level1,6.0,cauc,11.0,31.0
416.0,449.0,female,1980 Q3,free,cauc,regular+aide,rural,master,level1,8.0,cauc,14.0,38.0
380.0,384.0,male,1980 Q1,free,cauc,small,rural,bachelor,level1,19.0,cauc,31.0,64.0
421.0,454.0,male,1980 Q2,non-free,cauc,regular,suburban,bachelor,probation,14.0,cauc,18.0,42.0
440.0,454.0,female,1980 Q3,non-free,cauc,regular+aide,suburban,bachelor,level1,17.0,cauc,18.0,43.0
456.0,463.0,male,1980 Q2,non-free,cauc,regular+aide,rural,bachelor,level1,13.0,cauc,32.0,66.0
437.0,484.0,female,1980 Q1,free,afam,regular+aide,rural,bachelor,level1,10.0,cauc,34.0,68.0
474.0,473.0,female,1980 Q3,non-free,cauc,regular,suburban,bachelor,level1,15.0,cauc,12.0,36.0
439.0,478.0,female,1980 Q2,non-free,cauc,regular+aide,suburban,master,level1,15.0,afam,11.0,21.0
431.0,489.0,female,1979 Q2,free,cauc,regular+aide,rural,master,level1,12.0,cauc,6.0,8.0
395.0,418.0,male,1980 Q2,free,afam,regular,inner-city,bachelor,level1,9.0,afam,11.0,18.0
,,female,1980 Q3,free,cauc,regular,rural,bachelor,level1,19.0,cauc,37.0,73.0
456.0,513.0,female,1980 Q1,free,afam,regular,inner-city,bachelor,,6.0,afam,11.0,27.0
447.0,478.0,male,1980 Q1,non-free,cauc,regular+aide,urban,,,,,20.0,48.0
483.0,506.0,female,1980 Q2,free,cauc,small,urban,bachelor,level1,11.0,cauc,26.0,59.0
436.0,454.0,male,1980 Q3,non-free,cauc,small,rural,bachelor,level1,12.0,cauc,41.0,79.0
453.0,506.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,level1,9.0,cauc,21.0,49.0
434.0,434.0,male,1979 Q4,free,cauc,small,rural,bachelor,apprentice,2.0,cauc,12.0,34.0
,,female,1980 Q2,non-free,cauc,regular,suburban,bachelor,probation,14.0,cauc,18.0,42.0
425.0,459.0,female,1980 Q3,free,afam,small,inner-city,bachelor,apprentice,1.0,cauc,11.0,26.0
413.0,423.0,male,1980 Q2,free,cauc,small,rural,bachelor,level1,15.0,cauc,23.0,55.0
,,male,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,level1,4.0,cauc,29.0,62.0
418.0,468.0,female,1980 Q1,free,afam,regular+aide,inner-city,bachelor,level1,7.0,cauc,11.0,22.0
428.0,463.0,female,1980 Q1,free,cauc,regular+aide,rural,master,level1,13.0,cauc,23.0,55.0
448.0,489.0,male,1980 Q1,free,afam,regular,inner-city,bachelor,level1,24.0,afam,11.0,22.0
439.0,444.0,male,1980 Q2,non-free,cauc,regular,suburban,bachelor,probation,14.0,cauc,18.0,42.0
460.0,500.0,male,1980 Q3,free,afam,small,rural,bachelor,level1,4.0,cauc,10.0,13.0
455.0,489.0,female,1980 Q1,non-free,cauc,small,suburban,bachelor,level1,10.0,cauc,18.0,42.0
456.0,500.0,female,1980 Q1,free,cauc,small,suburban,bachelor,,10.0,afam,22.0,51.0
428.0,444.0,male,1980 Q3,free,cauc,small,urban,bachelor,level1,13.0,cauc,6.0,9.0
437.0,500.0,male,1980 Q1,free,cauc,small,rural,master,,11.0,cauc,19.0,47.0
443.0,478.0,female,1980 Q2,non-free,cauc,regular,suburban,bachelor,level1,15.0,cauc,12.0,36.0
425.0,478.0,female,1980 Q2,non-free,cauc,small,rural,bachelor,level1,22.0,cauc,40.0,76.0
428.0,468.0,female,1980 Q1,non-free,cauc,regular,rural,master,level1,8.0,afam,32.0,66.0
518.0,547.0,female,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,level1,3.0,cauc,25.0,58.0
433.0,463.0,female,1979 Q2,free,cauc,regular,rural,bachelor,apprentice,1.0,cauc,40.0,76.0
419.0,444.0,female,1980 Q1,free,afam,regular+aide,inner-city,bachelor,apprentice,1.0,afam,11.0,14.0
500.0,547.0,female,1980 Q1,non-free,cauc,small,suburban,master,level1,15.0,cauc,22.0,51.0
460.0,576.0,female,1979 Q4,non-free,cauc,small,rural,specialist,level1,10.0,cauc,3.0,3.0
442.0,444.0,male,1979 Q4,free,afam,regular+aide,inner-city,master,level1,17.0,cauc,11.0,29.0
398.0,392.0,male,1980 Q2,free,cauc,small,rural,bachelor,level1,10.0,cauc,32.0,66.0
407.0,439.0,female,1980 Q1,free,afam,regular+aide,inner-city,bachelor,,2.0,cauc,11.0,32.0
467.0,520.0,female,1979 Q4,free,afam,regular+aide,inner-city,bachelor,level1,5.0,afam,11.0,28.0
411.0,489.0,male,1980 Q1,free,cauc,regular,rural,bachelor,probation,0.0,cauc,33.0,67.0
414.0,434.0,male,1980 Q2,non-free,cauc,small,rural,bachelor,apprentice,1.0,cauc,24.0,57.0
403.0,429.0,male,1980 Q1,non-free,cauc,small,rural,master,level1,8.0,cauc,24.0,57.0
437.0,478.0,male,1980 Q2,free,cauc,regular+aide,rural,master,level1,12.0,cauc,6.0,8.0
434.0,473.0,female,1980 Q3,free,afam,small,inner-city,bachelor,apprentice,1.0,cauc,11.0,33.0
403.0,423.0,male,1980 Q3,non-free,cauc,regular+aide,rural,master,level1,5.0,cauc,12.0,34.0
407.0,454.0,female,1979 Q4,non-free,afam,regular,inner-city,bachelor,,10.0,afam,11.0,18.0
414.0,500.0,male,1980 Q2,free,afam,small,inner-city,bachelor,probation,1.0,cauc,11.0,27.0
443.0,520.0,female,1979 Q4,free,afam,small,inner-city,bachelor,level1,3.0,afam,11.0,28.0
,,female,1980 Q2,non-free,cauc,regular+aide,urban,bachelor,probation,0.0,cauc,13.0,37.0
465.0,429.0,male,1980 Q3,free,afam,regular+aide,inner-city,master,level1,17.0,cauc,11.0,29.0
440.0,500.0,male,1980 Q1,non-free,cauc,regular+aide,rural,master,level1,7.0,cauc,30.0,63.0
472.0,559.0,female,1980 Q2,non-free,cauc,small,rural,master,level1,8.0,cauc,34.0,68.0
418.0,489.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,level1,19.0,cauc,31.0,64.0
433.0,484.0,male,1979 Q3,non-free,cauc,regular+aide,suburban,master,level1,14.0,cauc,12.0,36.0
453.0,478.0,female,1980 Q2,non-free,cauc,regular,suburban,bachelor,level1,11.0,cauc,22.0,51.0
398.0,449.0,male,1980 Q3,free,afam,small,inner-city,bachelor,probation,1.0,cauc,11.0,27.0
424.0,423.0,male,1980 Q2,free,cauc,regular+aide,rural,bachelor,level1,12.0,cauc,12.0,35.0
395.0,405.0,female,1980 Q3,free,cauc,regular,rural,bachelor,level1,8.0,cauc,4.0,5.0
580.0,626.0,female,1980 Q1,non-free,cauc,regular+aide,rural,bachelor,level1,13.0,cauc,8.0,11.0
437.0,513.0,female,1979 Q4,non-free,cauc,regular,suburban,bachelor,,3.0,cauc,25.0,58.0
455.0,484.0,female,1979 Q4,non-free,afam,small,inner-city,bachelor,apprentice,2.0,cauc,11.0,19.0
428.0,434.0,female,1980 Q2,non-free,cauc,regular,suburban,master+,level1,13.0,cauc,22.0,51.0
411.0,449.0,male,1980 Q3,free,cauc,regular,rural,bachelor,level1,8.0,cauc,36.0,72.0
419.0,444.0,male,1980 Q2,non-free,cauc,regular+aide,rural,bachelor,level1,3.0,cauc,32.0,66.0
,,female,1980 Q3,non-free,cauc,small,rural,bachelor,level1,22.0,cauc,40.0,76.0
470.0,602.0,male,1980 Q1,non-free,cauc,small,rural,specialist,level1,10.0,cauc,3.0,3.0
402.0,449.0,male,1980 Q3,free,afam,regular,inner-city,master,level1,11.0,afam,11.0,15.0
431.0,463.0,female,1980 Q3,free,cauc,regular+aide,rural,bachelor,level1,4.0,cauc,29.0,62.0
428.0,449.0,female,1980 Q2,free,cauc,small,suburban,master,level1,7.0,cauc,28.0,61.0
554.0,559.0,female,1980 Q3,non-free,cauc,small,rural,bachelor,level1,8.0,cauc,4.0,5.0
414.0,449.0,male,1980 Q3,non-free,cauc,regular+aide,rural,master,level1,5.0,cauc,12.0,34.0
476.0,478.0,male,1980 Q1,non-free,cauc,small,suburban,bachelor,level1,16.0,afam,22.0,51.0
,444.0,female,1980 Q2,non-free,cauc,small,suburban,bachelor,,15.0,cauc,18.0,43.0
402.0,423.0,male,1980 Q2,free,afam,regular,inner-city,bachelor,,10.0,afam,11.0,18.0
450.0,536.0,female,1979 Q4,non-free,afam,regular,suburban,bachelor,apprentice,1.0,cauc,11.0,23.0
407.0,513.0,male,1980 Q2,free,cauc,small,rural,bachelor,level1,20.0,cauc,36.0,71.0
410.0,444.0,male,1980 Q2,non-free,cauc,small,rural,bachelor,apprentice,1.0,cauc,24.0,57.0
,,female,1980 Q3,non-free,afam,small,inner-city,bachelor,probation,1.0,cauc,11.0,27.0
442.0,520.0,male,1980 Q2,non-free,cauc,regular+aide,rural,bachelor,level1,3.0,cauc,5.0,7.0
445.0,528.0,male,1980 Q1,non-free,cauc,regular,rural,master,level1,5.0,cauc,19.0,47.0
445.0,468.0,female,1980 Q4,non-free,cauc,regular+aide,urban,master,level1,8.0,cauc,26.0,59.0
408.0,454.0,male,1979 Q3,non-free,afam,regular,suburban,master,level1,12.0,cauc,22.0,52.0
407.0,494.0,male,1980 Q1,free,afam,small,inner-city,bachelor,probation,9.0,afam,11.0,22.0
433.0,,female,1980 Q2,non-free,afam,small,inner-city,bachelor,probation,9.0,afam,11.0,22.0
436.0,454.0,male,1979 Q3,free,cauc,small,rural,bachelor,level1,5.0,cauc,33.0,67.0
514.0,559.0,male,1979 Q4,non-free,cauc,small,urban,master+,level1,12.0,cauc,7.0,10.0
433.0,513.0,male,1979 Q2,non-free,cauc,regular,suburban,bachelor,level1,12.0,cauc,18.0,46.0
416.0,463.0,male,1980 Q3,free,afam,small,suburban,bachelor,level1,3.0,cauc,18.0,44.0
467.0,528.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,level1,11.0,cauc,11.0,31.0
419.0,454.0,male,1980 Q1,free,cauc,regular+aide,rural,master,level1,10.0,cauc,36.0,72.0
410.0,454.0,female,1980 Q3,non-free,cauc,regular+aide,urban,bachelor,level1,17.0,cauc,2.0,2.0
400.0,392.0,male,1980 Q2,free,cauc,regular,urban,master,level1,6.0,cauc,2.0,2.0
492.0,547.0,male,1980 Q2,non-free,cauc,small,rural,bachelor,level1,11.0,cauc,8.0,11.0
436.0,484.0,female,1980 Q2,free,afam,regular+aide,inner-city,master,level1,17.0,cauc,11.0,16.0
476.0,528.0,female,1980 Q2,non-free,cauc,regular,urban,bachelor,level1,5.0,cauc,13.0,37.0
,,male,1980 Q3,free,afam,small,suburban,master,level1,14.0,afam,11.0,21.0
492.0,536.0,male,1980 Q2,free,cauc,regular+aide,rural,master,level1,6.0,cauc,35.0,69.0
437.0,547.0,male,1979 Q2,non-free,cauc,regular,rural,bachelor,level1,13.0,cauc,38.0,74.0
,,female,1980 Q2,non-free,cauc,small,rural,bachelor,level1,15.0,cauc,31.0,65.0
430.0,489.0,male,1979 Q3,non-free,cauc,small,rural,bachelor,level1,15.0,cauc,32.0,66.0
402.0,449.0,male,1979 Q4,free,afam,regular+aide,inner-city,bachelor,apprentice,0.0,cauc,11.0,32.0
458.0,459.0,female,1980 Q3,non-free,cauc,regular,urban,bachelor,level1,8.0,cauc,6.0,9.0
467.0,506.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,level1,8.0,cauc,4.0,5.0
421.0,444.0,male,1980 Q3,non-free,cauc,regular+aide,rural,master,level1,12.0,cauc,41.0,79.0
467.0,506.0,male,1980 Q3,free,cauc,small,rural,bachelor,level1,5.0,cauc,41.0,79.0
411.0,434.0,female,1980 Q2,free,afam,small,inner-city,bachelor,apprentice,2.0,afam,11.0,16.0
463.0,576.0,female,1980 Q2,non-free,cauc,regular+aide,rural,master,level1,6.0,cauc,35.0,69.0
465.0,506.0,male,1980 Q1,non-free,cauc,regular,rural,bachelor,level2,10.0,cauc,34.0,68.0
453.0,528.0,male,1979 Q4,non-free,asian,regular,suburban,bachelor,level1,11.0,cauc,22.0,51.0
414.0,489.0,female,1979 Q4,non-free,cauc,regular,suburban,bachelor,level1,8.0,cauc,4.0,4.0
418.0,449.0,male,1980 Q2,free,afam,regular+aide,inner-city,master,level1,22.0,cauc,11.0,33.0
434.0,412.0,female,1980 Q1,free,afam,regular+aide,inner-city,master,level1,11.0,cauc,11.0,18.0
428.0,494.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,level1,6.0,afam,11.0,26.0
443.0,547.0,male,1980 Q1,non-free,cauc,regular,rural,bachelor,level1,8.0,cauc,3.0,3.0
453.0,520.0,female,1980 Q1,non-free,cauc,regular,inner-city,bachelor,,10.0,afam,11.0,18.0
458.0,536.0,female,1980 Q1,free,afam,small,inner-city,bachelor,level1,11.0,cauc,11.0,27.0
440.0,449.0,male,1980 Q1,free,afam,small,inner-city,bachelor,level1,3.0,afam,11.0,28.0
408.0,459.0,male,1980 Q2,free,afam,small,inner-city,bachelor,,3.0,cauc,18.0,45.0
411.0,405.0,male,1980 Q1,non-free,cauc,regular,suburban,bachelor,level1,11.0,cauc,22.0,51.0
,454.0,female,1980 Q1,non-free,cauc,regular,rural,bachelor,level1,20.0,cauc,31.0,64.0
408.0,405.0,female,1980 Q3,free,afam,small,inner-city,bachelor,apprentice,1.0,afam,11.0,32.0
422.0,478.0,female,1980 Q3,non-free,cauc,regular+aide,urban,bachelor,probation,0.0,cauc,13.0,37.0
397.0,412.0,male,1980 Q3,free,afam,small,inner-city,bachelor,,3.0,cauc,18.0,45.0
456.0,473.0,male,1980 Q2,free,cauc,small,suburban,master,level1,4.0,cauc,18.0,46.0
411.0,473.0,male,1979 Q4,free,cauc,regular,rural,bachelor,level1,20.0,cauc,9.0,12.0
463.0,489.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,level1,13.0,cauc,32.0,66.0
419.0,506.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,level1,8.0,cauc,3.0,3.0
424.0,429.0,female,1980 Q2,free,afam,small,suburban,bachelor,level1,10.0,cauc,18.0,42.0
419.0,418.0,male,1980 Q2,non-free,afam,regular+aide,inner-city,bachelor,level1,11.0,cauc,18.0,45.0
461.0,536.0,male,1979 Q4,non-free,cauc,regular+aide,rural,master,level1,13.0,cauc,23.0,55.0
425.0,478.0,male,1980 Q1,free,cauc,regular,suburban,bachelor,,18.0,afam,11.0,25.0
430.0,473.0,female,1979 Q4,non-free,cauc,regular,inner-city,master,probation,3.0,afam,22.0,53.0
448.0,494.0,female,1980 Q1,free,afam,regular+aide,suburban,bachelor,apprentice,1.0,afam,11.0,20.0
397.0,423.0,male,1979 Q1,free,afam,regular,suburban,bachelor,,4.0,cauc,11.0,20.0
398.0,384.0,female,1980 Q1,free,cauc,small,rural,bachelor,level1,3.0,cauc,39.0,75.0
,,male,1980 Q1,free,afam,small,inner-city,bachelor,probation,1.0,cauc,11.0,27.0
400.0,434.0,male,1980 Q3,free,cauc,regular,rural,bachelor,,4.0,cauc,12.0,35.0
437.0,513.0,female,1980 Q3,free,cauc,regular,rural,bachelor,probation,0.0,cauc,33.0,67.0
497.0,576.0,female,1980 Q3,non-free,cauc,regular+aide,rural,master,level1,13.0,cauc,40.0,76.0
408.0,449.0,female,1980 Q2,non-free,cauc,small,urban,bachelor,level1,11.0,cauc,27.0,60.0
456.0,506.0,male,1980 Q3,non-free,cauc,regular+aide,rural,master,level1,12.0,cauc,41.0,79.0
391.0,392.0,male,1979 Q3,free,afam,regular,suburban,bachelor,level1,0.0,cauc,11.0,17.0
455.0,484.0,female,1979 Q4,non-free,cauc,small,rural,bachelor,level1,6.0,cauc,36.0,71.0
403.0,449.0,female,1980 Q2,free,cauc,small,rural,bachelor,level1,14.0,cauc,38.0,74.0
450.0,494.0,female,1980 Q3,free,cauc,regular+aide,rural,bachelor,level1,3.0,cauc,5.0,7.0
433.0,513.0,male,1979 Q4,free,cauc,small,rural,bachelor,level1,5.0,cauc,33.0,67.0
434.0,468.0,male,1980 Q1,non-free,cauc,regular,rural,master,level1,17.0,cauc,12.0,34.0
448.0,494.0,female,1979 Q4,free,cauc,small,rural,bachelor,level1,4.0,cauc,10.0,13.0
407.0,434.0,male,1979 Q4,free,cauc,regular+aide,rural,master,level1,9.0,cauc,3.0,3.0
440.0,484.0,female,1980 Q2,non-free,cauc,regular+aide,rural,bachelor,level1,11.0,cauc,4.0,6.0
532.0,576.0,female,1979 Q4,non-free,cauc,regular+aide,suburban,bachelor,level1,5.0,afam,22.0,51.0
443.0,528.0,male,1980 Q1,non-free,cauc,small,suburban,master,level1,14.0,afam,11.0,21.0
427.0,489.0,male,1980 Q2,non-free,cauc,regular+aide,urban,bachelor,,11.0,cauc,13.0,37.0
422.0,484.0,male,1979 Q4,non-free,cauc,regular,rural,bachelor,level1,13.0,cauc,38.0,74.0
436.0,494.0,female,1980 Q3,free,cauc,regular,rural,bachelor,apprentice,3.0,afam,24.0,56.0
458.0,494.0,male,1979 Q4,non-free,cauc,regular,rural,master,level1,13.0,cauc,6.0,8.0
510.0,520.0,male,1979 Q4,free,cauc,regular+aide,rural,master,level1,8.0,cauc,14.0,38.0
,,male,1980 Q3,free,afam,regular,inner-city,bachelor,,6.0,afam,11.0,27.0
413.0,439.0,male,1980 Q2,free,afam,regular,inner-city,master+,level1,8.0,cauc,11.0,16.0
478.0,506.0,female,1980 Q2,free,afam,small,suburban,bachelor,level1,3.0,cauc,18.0,44.0
451.0,473.0,female,1980 Q3,non-free,cauc,regular+aide,urban,bachelor,,11.0,cauc,13.0,37.0
407.0,500.0,male,1980 Q3,free,cauc,small,rural,bachelor,level1,8.0,cauc,35.0,70.0
433.0,494.0,female,1980 Q4,non-free,cauc,regular+aide,rural,bachelor,level1,12.0,cauc,12.0,35.0
421.0,494.0,female,1980 Q1,free,afam,regular+aide,rural,master+,level1,12.0,cauc,30.0,63.0
434.0,434.0,female,1980 Q1,non-free,cauc,small,suburban,bachelor,,10.0,afam,22.0,51.0
,,female,1980 Q3,free,afam,regular+aide,inner-city,master,level1,10.0,afam,11.0,28.0
430.0,506.0,male,1980 Q2,free,cauc,regular,rural,bachelor,level1,16.0,cauc,35.0,69.0
421.0,506.0,male,1979 Q4,free,afam,regular+aide,suburban,bachelor,level1,8.0,afam,11.0,17.0
436.0,513.0,female,1980 Q2,non-free,cauc,regular,rural,bachelor,level1,10.0,cauc,35.0,70.0
445.0,506.0,male,1980 Q1,non-free,cauc,regular,suburban,bachelor,apprentice,1.0,cauc,11.0,23.0
448.0,494.0,female,1979 Q4,non-free,cauc,small,rural,bachelor,level1,4.0,cauc,10.0,13.0
451.0,500.0,male,1980 Q2,non-free,cauc,regular,urban,bachelor,level1,8.0,cauc,6.0,9.0
450.0,494.0,female,1980 Q3,non-free,cauc,regular+aide,urban,master,level1,8.0,cauc,26.0,59.0
411.0,494.0,female,1979 Q4,non-free,afam,regular,rural,bachelor,level1,13.0,cauc,38.0,74.0
450.0,478.0,male,1980 Q1,non-free,cauc,small,suburban,master,level1,14.0,afam,11.0,21.0
,,male,1980 Q2,free,afam,regular,inner-city,master,level1,11.0,afam,11.0,15.0
467.0,489.0,male,1980 Q2,non-free,cauc,regular,rural,master,level2,11.0,cauc,8.0,11.0
430.0,468.0,male,1980 Q2,free,afam,small,inner-city,master,level3,12.0,cauc,11.0,15.0
413.0,429.0,male,1980 Q3,free,afam,small,suburban,bachelor,apprentice,5.0,afam,11.0,24.0
485.0,576.0,male,1979 Q2,non-free,cauc,regular+aide,suburban,bachelor,level1,17.0,cauc,25.0,58.0
458.0,513.0,female,1980 Q2,non-free,cauc,regular+aide,suburban,master,level1,14.0,cauc,12.0,36.0
410.0,489.0,female,1980 Q3,non-free,cauc,regular+aide,suburban,master+,level1,12.0,cauc,22.0,51.0
480.0,528.0,female,1980 Q1,non-free,cauc,small,suburban,master,level1,8.0,cauc,25.0,58.0
436.0,506.0,male,1980 Q1,free,afam,regular,inner-city,bachelor,level1,10.0,afam,11.0,30.0
414.0,463.0,male,1979 Q4,non-free,cauc,regular+aide,rural,master,level1,12.0,cauc,41.0,79.0
425.0,449.0,female,1980 Q1,non-free,cauc,regular,suburban,bachelor,level1,15.0,cauc,12.0,36.0
425.0,444.0,male,1979 Q4,non-free,cauc,regular,rural,master,level1,13.0,cauc,6.0,8.0
414.0,473.0,male,1980 Q1,non-free,cauc,small,suburban,bachelor,,0.0,cauc,4.0,4.0
388.0,429.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,apprentice,0.0,cauc,11.0,32.0
430.0,449.0,male,1980 Q3,non-free,afam,regular,suburban,bachelor,,3.0,cauc,25.0,58.0
398.0,423.0,female,1979 Q4,non-free,afam,small,rural,master,level1,8.0,cauc,24.0,57.0
436.0,494.0,female,1980 Q3,,cauc,regular+aide,rural,bachelor,level1,15.0,,19.0,47.0
436.0,454.0,male,1980 Q1,non-free,cauc,regular,suburban,bachelor,level1,8.0,cauc,4.0,4.0
398.0,429.0,female,1980 Q3,free,afam,regular,inner-city,master+,level1,8.0,cauc,11.0,16.0
461.0,500.0,male,1979 Q4,non-free,cauc,regular,rural,bachelor,level1,10.0,cauc,30.0,63.0
410.0,459.0,male,1980 Q3,free,cauc,small,rural,master,level1,8.0,cauc,40.0,76.0
427.0,520.0,male,1979 Q4,non-free,cauc,regular,rural,bachelor,level2,10.0,cauc,34.0,68.0
407.0,484.0,male,1980 Q1,free,cauc,small,rural,master,level1,15.0,cauc,35.0,70.0
408.0,468.0,female,1979 Q4,non-free,cauc,regular,rural,master,level1,13.0,cauc,24.0,56.0
448.0,559.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,level1,4.0,cauc,5.0,7.0
,,female,1980 Q2,free,cauc,regular,rural,bachelor,level1,10.0,cauc,35.0,70.0
605.0,536.0,female,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,level1,16.0,cauc,17.0,41.0
461.0,602.0,male,1980 Q2,free,afam,regular,suburban,master,level1,24.0,cauc,18.0,44.0
424.0,463.0,female,1980 Q1,non-free,cauc,regular,rural,bachelor,level1,11.0,cauc,31.0,64.0
451.0,602.0,female,1980 Q3,non-free,cauc,small,rural,bachelor,level1,12.0,cauc,21.0,50.0
431.0,520.0,male,1979 Q4,non-free,cauc,small,suburban,master,level1,20.0,cauc,11.0,17.0
453.0,506.0,male,1980 Q2,non-free,cauc,regular+aide,suburban,bachelor,,2.0,cauc,11.0,25.0
445.0,513.0,male,1979 Q1,free,afam,small,rural,bachelor,level1,14.0,cauc,38.0,74.0
424.0,444.0,female,1980 Q1,free,afam,regular+aide,inner-city,master,level1,22.0,cauc,11.0,33.0
,,male,1980 Q3,non-free,cauc,regular+aide,suburban,bachelor,,2.0,cauc,11.0,25.0
453.0,468.0,male,1979 Q4,free,afam,regular,inner-city,bachelor,level1,24.0,afam,11.0,22.0
,,female,1980 Q2,non-free,cauc,small,rural,master,level1,5.0,cauc,12.0,35.0
445.0,513.0,female,1980 Q3,non-free,cauc,small,suburban,bachelor,level1,5.0,cauc,25.0,58.0
,,male,1980 Q3,free,afam,small,inner-city,bachelor,apprentice,1.0,afam,11.0,32.0
450.0,513.0,male,1979 Q4,free,afam,small,suburban,bachelor,,3.0,cauc,18.0,44.0
503.0,559.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,level1,15.0,cauc,32.0,66.0
436.0,468.0,female,1980 Q3,non-free,cauc,small,rural,bachelor,level1,12.0,cauc,41.0,79.0
431.0,439.0,female,1980 Q3,non-free,cauc,regular+aide,suburban,bachelor,probation,0.0,cauc,18.0,46.0
416.0,489.0,male,1980 Q1,free,afam,regular+aide,rural,bachelor,level1,10.0,cauc,34.0,68.0
427.0,478.0,female,1980 Q3,free,afam,regular+aide,inner-city,bachelor,level1,6.0,afam,11.0,26.0
398.0,444.0,female,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,level1,17.0,cauc,18.0,43.0
442.0,520.0,male,1980 Q1,free,cauc,small,rural,bachelor,level1,8.0,cauc,35.0,70.0
436.0,602.0,male,1979 Q4,non-free,cauc,regular,rural,bachelor,apprentice,2.0,cauc,24.0,57.0
448.0,489.0,male,1980 Q3,non-free,cauc,regular+aide,rural,master,level1,9.0,cauc,31.0,65.0
413.0,463.0,male,1980 Q3,non-free,cauc,regular,rural,master,level1,12.0,cauc,6.0,8.0
497.0,547.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,level1,13.0,cauc,8.0,11.0
427.0,506.0,female,1980 Q1,free,cauc,regular+aide,rural,master,level1,12.0,cauc,21.0,50.0
437.0,434.0,female,1980 Q3,free,afam,regular,rural,master,level2,11.0,cauc,8.0,11.0
443.0,520.0,female,1980 Q3,non-free,cauc,regular,suburban,master+,level1,13.0,cauc,22.0,51.0
433.0,506.0,male,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,level1,7.0,cauc,4.0,4.0
418.0,484.0,female,1980 Q3,free,afam,regular+aide,suburban,bachelor,level1,21.0,afam,11.0,23.0
458.0,547.0,female,1980 Q3,free,cauc,regular,rural,bachelor,apprentice,2.0,cauc,16.0,40.0
424.0,484.0,female,1980 Q1,non-free,cauc,small,rural,master,level1,13.0,cauc,6.0,8.0
440.0,494.0,male,1980 Q1,free,cauc,regular+aide,rural,bachelor,level1,14.0,cauc,35.0,70.0
425.0,444.0,male,1979 Q3,free,cauc,regular,rural,master,level1,13.0,cauc,21.0,50.0
,,female,1980 Q1,free,cauc,regular,rural,bachelor,apprentice,2.0,cauc,16.0,40.0
,,male,1980 Q3,free,afam,regular,inner-city,master+,level1,8.0,cauc,11.0,16.0
436.0,468.0,male,1979 Q3,non-free,cauc,regular+aide,suburban,bachelor,level1,5.0,afam,22.0,51.0
495.0,576.0,female,1980 Q1,free,afam,regular+aide,inner-city,master,apprentice,24.0,cauc,11.0,30.0
421.0,528.0,female,1979 Q4,free,cauc,regular+aide,urban,bachelor,level1,17.0,cauc,2.0,2.0
405.0,434.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,level1,6.0,cauc,11.0,16.0
,,female,1980 Q1,non-free,cauc,regular,rural,bachelor,level1,19.0,cauc,37.0,73.0
431.0,429.0,male,1979 Q3,non-free,cauc,regular,inner-city,bachelor,level1,9.0,afam,11.0,18.0
436.0,434.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,level1,3.0,cauc,32.0,66.0
474.0,576.0,female,1979 Q4,non-free,cauc,regular+aide,urban,bachelor,level1,14.0,cauc,6.0,9.0
,,male,1980 Q2,non-free,cauc,small,suburban,master,level1,17.0,cauc,12.0,36.0
461.0,489.0,male,1980 Q3,non-free,cauc,small,suburban,master,level1,18.0,cauc,17.0,41.0
400.0,384.0,male,1979 Q4,free,afam,regular+aide,inner-city,bachelor,level1,3.0,afam,11.0,15.0
,,male,1980 Q2,non-free,cauc,small,suburban,bachelor,,10.0,afam,22.0,51.0
421.0,500.0,male,1978 Q4,non-free,cauc,regular,rural,bachelor,level1,13.0,,23.0,55.0
500.0,559.0,female,1979 Q4,non-free,cauc,regular,rural,master,level1,12.0,cauc,31.0,65.0
